director_name,actor_1_name,actor_2_name,actor_3_name,Genres,movie_title,comb
Nicholas Bruckman, Amanda Roddy (screenplay),unknown,unknown,Documentary,not going quietly, Amanda Roddy (screenplay) unknown unknown Nicholas Bruckman Documentary
Cal Brunker, Iain Armitage,Marsai Martin,Ron Pardo,Animation Family Adventure Comedy,paw patrol: the movie, Iain Armitage Marsai Martin Ron Pardo Cal Brunker Animation Family Adventure Comedy
Lisa Joy, Hugh Jackman,Rebecca Ferguson,Thandiwe Newton,Science Fiction Thriller Mystery Romance,reminiscence, Hugh Jackman Rebecca Ferguson Thandiwe Newton Lisa Joy Science Fiction Thriller Mystery Romance
Martin Campbell, Michael Keaton,Maggie Q,Samuel L. Jackson,Action Crime Thriller,the protégé, Michael Keaton Maggie Q Samuel L. Jackson Martin Campbell Action Crime Thriller
Brian Andrew Mendoza, Jason Momoa,Isabela Merced,Manuel Garcia-Rulfo,Action,sweet girl, Jason Momoa Isabela Merced Manuel Garcia-Rulfo Brian Andrew Mendoza Action
Dave Needham,Dave Needham (director); Asher Bishop,David Tennant,Michelle Gomez,Animation Family Comedy Music Fantasy,the loud house movie,Dave Needham (director); Asher Bishop David Tennant Michelle Gomez Dave Needham Animation Family Comedy Music Fantasy
David Bruckner, Rebecca Hall,Sarah Goldberg,Evan Jonigkeit,Horror Thriller Mystery,the night house, Rebecca Hall Sarah Goldberg Evan Jonigkeit David Bruckner Horror Thriller Mystery
Sean Penn, Dylan Penn,Sean Penn,Katheryn Winnick,Drama Thriller,flag day, Dylan Penn Sean Penn Katheryn Winnick Sean Penn Drama Thriller
Dash Shaw, Lake Bell,Michael Cera,Angeliki Papoulia,Animation Fantasy,cryptozoo, Lake Bell Michael Cera Angeliki Papoulia Dash Shaw Animation Fantasy
Janell Shirtcliff, Josie Ho,Bella Thorne,Gavin Rossdale,Crime Comedy Thriller,habit, Josie Ho Bella Thorne Gavin Rossdale Janell Shirtcliff Crime Comedy Thriller
Neill Blomkamp, Carly Pope,Chris William Martin,Michael Rogers,Horror Thriller,demonic, Carly Pope Chris William Martin Michael Rogers Neill Blomkamp Horror Thriller
Eddie Arya, Caroline McQuade,Kenneth Trujillo,Wassim Hawat,Drama History,risen, Caroline McQuade Kenneth Trujillo Wassim Hawat Eddie Arya Drama History
Kwang Il Han, Theo James,Lara Pulver,Graham McTavish,Animation Action Fantasy,the witcher: nightmare of the wolf, Theo James Lara Pulver Graham McTavish Kwang Il Han Animation Action Fantasy
Angel Kristi Williams, Kofi Siriboe,Yootha Wong-Loi-Sing,Blair Underwood,Romance Drama,really love, Kofi Siriboe Yootha Wong-Loi-Sing Blair Underwood Angel Kristi Williams Romance Drama
Nia DaCosta, Yahya Abdul-Mateen II,Teyonah Parris,Nathan Stewart-Jarrett,Horror Thriller,candyman, Yahya Abdul-Mateen II Teyonah Parris Nathan Stewart-Jarrett Nia DaCosta Horror Thriller
Clay Tarver, John Cena,Lil Rel Howery,Yvonne Orji,Comedy,vacation friends, John Cena Lil Rel Howery Yvonne Orji Clay Tarver Comedy
Mark Waters, Addison Rae,Tanner Buchanan,Madison Pettis,Comedy Romance,he's all that, Addison Rae Tanner Buchanan Madison Pettis Mark Waters Comedy Romance
Amber Sealey, Elijah Wood,Luke Kirby,Aleksa Palladino,Crime Drama History,no man of god, Elijah Wood Luke Kirby Aleksa Palladino Amber Sealey Crime Drama History
Vibeke Muasya,Vibeke Muasya (director); Siobhan Fallon Hogan (screenplay),Siobhan Fallon Hogan,Robert Patrick,Thriller Drama Horror Mystery,rushed,Vibeke Muasya (director); Siobhan Fallon Hogan (screenplay) Siobhan Fallon Hogan Robert Patrick Vibeke Muasya Thriller Drama Horror Mystery
Stephen Herek, Victoria Justice,Midori Francis,Timothy Renouf,Fantasy Comedy Drama,afterlife of the party, Victoria Justice Midori Francis Timothy Renouf Stephen Herek Fantasy Comedy Drama
Destin Daniel Cretton, Simu Liu,Awkwafina,Meng'er Zhang,Action Adventure Fantasy,shang-chi and the legend of the ten rings, Simu Liu Awkwafina Meng'er Zhang Destin Daniel Cretton Action Adventure Fantasy
,Kay Cannon (director/screenwriter); Camila Cabello,Idina Menzel,Nicholas Galitzine,Fantasy Romance Comedy,cinderella,
Sara Colangelo, Michael Keaton,Stanley Tucci,Amy Ryan,Drama History,worth, Michael Keaton Stanley Tucci Amy Ryan Sara Colangelo Drama History
Michele Civetta, Shea Whigham,Olivia Munn,Frank Grillo,Science Fiction,the gateway, Shea Whigham Olivia Munn Frank Grillo Michele Civetta Science Fiction
"Lyle Mitcell Corbine, Jr.", Michael Greyeyes,Chaske Spencer,Jesse Eisenberg,Crime Drama Thriller,wild indian," Michael Greyeyes Chaske Spencer Jesse Eisenberg Lyle Mitcell Corbine, Jr. Crime Drama Thriller"
Sean King O'Grady,Sean King O'Grady (director); Max Booth III (screenwriter); Sierra McCormick,Vinessa Shaw,Pat Healy,Horror Thriller,we need to do something,Sean King O'Grady (director); Max Booth III (screenwriter); Sierra McCormick Vinessa Shaw Pat Healy Sean King O'Grady Horror Thriller
Cedric Nicolas-Troyan, Mary Elizabeth Winstead,Miku Martineau,Woody Harrelson,Action Thriller,kate, Mary Elizabeth Winstead Miku Martineau Woody Harrelson Cedric Nicolas-Troyan Action Thriller
Jonathan Butterell, Max Harwood,Sarah Lancashire,Lauren Patel,Music Drama Comedy,everybody's talking about jamie, Max Harwood Sarah Lancashire Lauren Patel Jonathan Butterell Music Drama Comedy
James Wan, Annabelle Wallis,Maddie Hasson,George Young,Horror Mystery Thriller,malignant, Annabelle Wallis Maddie Hasson George Young James Wan Horror Mystery Thriller
, Kristen Bell,Kirby Howell-Baptiste,Paul Walter Hauser,Comedy Crime,queenpins,
Paul Schrader, Oscar Isaac,Tiffany Haddish,Tye Sheridan,Drama Thriller Crime,the card counter, Oscar Isaac Tiffany Haddish Tye Sheridan Paul Schrader Drama Thriller Crime
Christopher Ashley, Petrina Bromley,Jenn Colella,De'Lon Grant,Comedy Drama,come from away, Petrina Bromley Jenn Colella De'Lon Grant Christopher Ashley Comedy Drama
Michael Mohan, Sydney Sweeney,Justice Smith,Ben Hardy,Thriller,the voyeurs, Sydney Sweeney Justice Smith Ben Hardy Michael Mohan Thriller
John Pollono, Jon Bernthal,Shea Whigham,Jordana Spiro,Drama Thriller,small engine repair, Jon Bernthal Shea Whigham Jordana Spiro John Pollono Drama Thriller
Natalie Morales,Natalie Morales (director/screenplay),Mark Duplass (screenplay),Natalie Morales,Drama Comedy,language lessons,Natalie Morales (director/screenplay) Mark Duplass (screenplay) Natalie Morales Natalie Morales Drama Comedy
Rick Altizer,Rick Altizer (director); Sherman Smith,Tony Evans,Steven Kendrick,Documentary,show me the father,Rick Altizer (director); Sherman Smith Tony Evans Steven Kendrick Rick Altizer Documentary
Michael Feifer, Jay Pickett,Peter Facinelli,Tom Skerritt,Western Action,catch the bullet, Jay Pickett Peter Facinelli Tom Skerritt Michael Feifer Western Action
Jonah Feingold, Francesca Reale,Jaboukie Young-White,Catherine Cohen,Comedy Romance,dating and new york, Francesca Reale Jaboukie Young-White Catherine Cohen Jonah Feingold Comedy Romance
"Scott B. Hansen, Desiree Connell", Zach Galligan,Derek Russo,Corey Taylor,Horror,bad candy," Zach Galligan Derek Russo Corey Taylor Scott B. Hansen, Desiree Connell Horror"
Kevin T. Morales, Bridget McGarry,Victoria Leigh,Okieriete Onaodowan,Comedy Drama,generation wrecks, Bridget McGarry Victoria Leigh Okieriete Onaodowan Kevin T. Morales Comedy Drama
Christian Carion, James McAvoy,Claire Foy,Gary Lewis,Crime Drama Mystery,my son, James McAvoy Claire Foy Gary Lewis Christian Carion Crime Drama Mystery
David Yarovesky, Winslow Fegley,Lidya Jewett,Krysten Ritter,Fantasy Family Horror,nightbooks, Winslow Fegley Lidya Jewett Krysten Ritter David Yarovesky Fantasy Family Horror
Theodore Melfi,Theodore Melfi (director); Matt Harris (screenpaly); Melissa McCarthy,Chris O'Dowd,Timothy Olyphant,Comedy Drama,the starling,Theodore Melfi (director); Matt Harris (screenpaly); Melissa McCarthy Chris O'Dowd Timothy Olyphant Theodore Melfi Comedy Drama
Michael Showalter, Jessica Chastain,Andrew Garfield,Cherry Jones,Drama History,the eyes of tammy faye, Jessica Chastain Andrew Garfield Cherry Jones Michael Showalter Drama History
Clint Eastwood, Clint Eastwood,Dwight Yoakam,Eduardo Minett,Western Drama,cry macho, Clint Eastwood Dwight Yoakam Eduardo Minett Clint Eastwood Western Drama
Joe Carnahan, Gerard Butler,Frank Grillo,Alexis Louder,Action Thriller Crime,copshop, Gerard Butler Frank Grillo Alexis Louder Joe Carnahan Action Thriller Crime
Justin Chon, Justin Chon,Alicia Vikander,Mark O'Brien,Drama,blue bayou, Justin Chon Alicia Vikander Mark O'Brien Justin Chon Drama
Sion Sono, Nicolas Cage,Sofia Boutella,Bill Moseley,Action Horror Science Fiction Thriller,prisoners of the ghostland, Nicolas Cage Sofia Boutella Bill Moseley Sion Sono Action Horror Science Fiction Thriller
Lina Roessler, Michael Caine,Aubrey Plaza,Scott Speedman,Drama Comedy,best sellers, Michael Caine Aubrey Plaza Scott Speedman Lina Roessler Drama Comedy
, Melanie Lynskey,Judy Greer,Justin Long,Comedy Fantasy,lady of the manor,
Bill Benz, Annie Clark,Carrie Brownstein,Dakota Johnson,Comedy Drama Horror,the nowhere inn, Annie Clark Carrie Brownstein Dakota Johnson Bill Benz Comedy Drama Horror
"Betsy West, Julie Cohen",Betsy West,Julie Cohen (director); Talleah Bridges McMahon,Julie Cohen,Documentary,my name is pauli murray,"Betsy West Julie Cohen (director); Talleah Bridges McMahon Julie Cohen Betsy West, Julie Cohen Documentary"
David Midell, Frankie Faison,Steve O'Connell,Enrico Natale,Drama,the killing of kenneth chamberlain, Frankie Faison Steve O'Connell Enrico Natale David Midell Drama
Adam Salky, Freida Pinto,Logan Marshall-Green,Robert John Burke,Thriller,intrusion, Freida Pinto Logan Marshall-Green Robert John Burke Adam Salky Thriller
Stephen Chbosky, Ben Platt,Kaitlyn Dever,Amandla Stenberg,Drama,dear evan hansen, Ben Platt Kaitlyn Dever Amandla Stenberg Stephen Chbosky Drama
"Robert Cullen, Jose Ucha", Vanessa Hudgens,Kimiko Glenn,James Marsden,Animation Family Fantasy Comedy Music Adventure,my little pony: a new generation," Vanessa Hudgens Kimiko Glenn James Marsden Robert Cullen, Jose Ucha Animation Family Fantasy Comedy Music Adventure"
Antoine Fuqua, Jake Gyllenhaal,Ethan Hawke,Riley Keough,Crime Drama Thriller,the guilty, Jake Gyllenhaal Ethan Hawke Riley Keough Antoine Fuqua Crime Drama Thriller
Sarah Adina Smith, Kristine Froseth,Diana Silvers,Jacqueline Bisset,Drama,birds of paradise, Kristine Froseth Diana Silvers Jacqueline Bisset Sarah Adina Smith Drama
Castille Landon, Josephine Langford,Hero Fiennes Tiffin,Louise Lombard,Romance Drama,after we fell, Josephine Langford Hero Fiennes Tiffin Louise Lombard Castille Landon Romance Drama
Andy Serkis, Tom Hardy,Michelle Williams,Naomie Harris,Science Fiction Action,venom: let there be carnage, Tom Hardy Michelle Williams Naomie Harris Andy Serkis Science Fiction Action
Alan Taylor, Alessandro Nivola,Michael Gandolfini,Leslie Odom Jr.,Crime Drama,the many saints of newark, Alessandro Nivola Michael Gandolfini Leslie Odom Jr. Alan Taylor Crime Drama
"Conrad Vernon, Greg Tiernan", Oscar Isaac,Charlize Theron,Chloë Grace Moretz,Animation Comedy Family,the addams family 2," Oscar Isaac Charlize Theron Chloë Grace Moretz Conrad Vernon, Greg Tiernan Animation Comedy Family"
Gigi Saul Guerrero, L. Scott Caldwell,Adriana Barraza,Joshua Caleb Johnson,Thriller,bingo hell, L. Scott Caldwell Adriana Barraza Joshua Caleb Johnson Gigi Saul Guerrero Thriller
Maritte Lee Go, Ashja Cooper,Theodus Crane,Kenneisha Thompson,Horror Thriller,black as night, Ashja Cooper Theodus Crane Kenneisha Thompson Maritte Lee Go Horror Thriller
Potsy Ponciroli, Tim Blake Nelson,Scott Haze,Gavin Lewis,Western Thriller,old henry, Tim Blake Nelson Scott Haze Gavin Lewis Potsy Ponciroli Western Thriller
Erwin brothers, Amy Grant,Michael W. Smith,TobyMac,Documentary Music,the jesus music, Amy Grant Michael W. Smith TobyMac Erwin brothers Documentary Music
Karen Cinorre, Grace Van Patten,Mia Goth,Havana Rose Liu,Fantasy Drama Action,mayday, Grace Van Patten Mia Goth Havana Rose Liu Karen Cinorre Fantasy Drama Action
Vance Null, David A. R. White,Antonio Sabàto Jr.,Francesca Battistelli,Drama,god's not dead: we the people, David A. R. White Antonio Sabàto Jr. Francesca Battistelli Vance Null Drama
Patrick Brice, Sydney Park,Theodore Pellerin,Asjha Cooper,Horror Thriller Mystery,there's someone inside your house, Sydney Park Theodore Pellerin Asjha Cooper Patrick Brice Horror Thriller Mystery
Cary Joji Fukunaga, Daniel Craig,Rami Malek,Léa Seydoux,Adventure Action Thriller,no time to die, Daniel Craig Rami Malek Léa Seydoux Cary Joji Fukunaga Adventure Action Thriller
Fran Kranz, Reed Birney,Ann Dowd,Jason Isaacs,Drama Crime History,mass, Reed Birney Ann Dowd Jason Isaacs Fran Kranz Drama Crime History
Aharon Keshales, Jason Sudeikis,Evangeline Lilly,Shea Whigham,Crime Thriller Drama,south of heaven, Jason Sudeikis Evangeline Lilly Shea Whigham Aharon Keshales Crime Thriller Drama
,Axelle Carolyn (director/screenwriter); Barbara Hershey,Bruce Davison,Stacey Travis,Comedy Fantasy,the manor,
Ryan Zaragoza, Elpidia Carrillo,Tenoch Huerta,unknown,Horror,madres, Elpidia Carrillo Tenoch Huerta unknown Ryan Zaragoza Horror
Michael D. Ratner,Michael D. Ratner (director); Justin Bieber,Hailey Bieber,unknown,Music Documentary,justin bieber: our world,Michael D. Ratner (director); Justin Bieber Hailey Bieber unknown Michael D. Ratner Music Documentary
David Gordon Green, Jamie Lee Curtis,Judy Greer,Andi Matichak,Horror Thriller,halloween kills, Jamie Lee Curtis Judy Greer Andi Matichak David Gordon Green Horror Thriller
Ridley Scott, Matt Damon,Adam Driver,Jodie Comer,Drama History War Thriller,the last duel, Matt Damon Adam Driver Jodie Comer Ridley Scott Drama History War Thriller
,John Ridley (director/sceenplay); Leslie Odom Jr.,Freida Pinto,Cynthia Erivo,Science Fiction Romance,needle in a timestack,
Justin Corsbie, Michael Dorman,Sophia Bush,Dermot Mulroney,Drama Thriller Music Romance,hard luck love song, Michael Dorman Sophia Bush Dermot Mulroney Justin Corsbie Drama Thriller Music Romance
Rachel Fleit,Rachel Fleit (director); Selma Blair,unknown,unknown,Documentary,"introducing, selma blair",Rachel Fleit (director); Selma Blair unknown unknown Rachel Fleit Documentary
Todd Haynes,Todd Haynes (director); The Velvet Underground,unknown,unknown,Documentary Music,the velvet underground,Todd Haynes (director); The Velvet Underground unknown unknown Todd Haynes Documentary Music
Adam Randall, Jorge Lendeborg Jr.,Debby Ryan,Lucy Fry,Horror Thriller Action,night teeth, Jorge Lendeborg Jr. Debby Ryan Lucy Fry Adam Randall Horror Thriller Action
Denis Villeneuve, Timothee Chalamet,Rebecca Ferguson,Oscar Isaac,Action Adventure Science Fiction,dune, Timothee Chalamet Rebecca Ferguson Oscar Isaac Denis Villeneuve Action Adventure Science Fiction
"Sarah Smith, Jean-Philippe Vine", Zach Galifianakis,Jack Dylan Grazer,Ed Helms,Animation Science Fiction Family Comedy,ron's gone wrong," Zach Galifianakis Jack Dylan Grazer Ed Helms Sarah Smith, Jean-Philippe Vine Animation Science Fiction Family Comedy"
Wes Anderson, Benicio del Toro,Adrien Brody,Tilda Swinton,Comedy Drama Romance,the french dispatch, Benicio del Toro Adrien Brody Tilda Swinton Wes Anderson Comedy Drama Romance
Jeymes Samuel, Jonathan Majors,Idris Elba,Zazie Beetz,Western,the harder they fall, Jonathan Majors Idris Elba Zazie Beetz Jeymes Samuel Western
Will Sharpe, Benedict Cumberbatch,Claire Foy,Andrea Riseborough,Drama History,the electrical life of louis wain, Benedict Cumberbatch Claire Foy Andrea Riseborough Will Sharpe Drama History
Agata Alexander, Alex Pettyfer,Alice Eve,Annabelle Wallis,Science Fiction Thriller Drama,warning, Alex Pettyfer Alice Eve Annabelle Wallis Agata Alexander Science Fiction Thriller Drama
Rebecca Hall, Tessa Thompson,Ruth Negga,André Holland,Drama,passing, Tessa Thompson Ruth Negga André Holland Rebecca Hall Drama
"Matt Angel, Suzanne Coote",Matt Angel,Suzanne Coote (director); Richard D'Ovidio (screnplay); Kate Siegel,Jason O'Mara,Thriller Drama Horror,hypnotic,"Matt Angel Suzanne Coote (director); Richard D'Ovidio (screnplay); Kate Siegel Jason O'Mara Matt Angel, Suzanne Coote Thriller Drama Horror"
Edgar Wright, Thomasin Mackenzie,Anya Taylor-Joy,Matt Smith,Drama Horror Mystery Thriller,last night in soho, Thomasin Mackenzie Anya Taylor-Joy Matt Smith Edgar Wright Drama Horror Mystery Thriller
Scott Cooper, Keri Russell,Jesse Plemons,Jeremy T. Thomas,Drama Horror Mystery,antlers, Keri Russell Jesse Plemons Jeremy T. Thomas Scott Cooper Drama Horror Mystery
Matthias Schweighöfer, Matthias Schweighöfer,Nathalie Emmanuel,Guz Khan,Action Thriller Comedy,army of thieves, Matthias Schweighöfer Nathalie Emmanuel Guz Khan Matthias Schweighöfer Action Thriller Comedy
Amy Koppelman, Amanda Seyfried,Finn Wittrock,Jennifer Carpenter,Drama,a mouthful of air, Amanda Seyfried Finn Wittrock Jennifer Carpenter Amy Koppelman Drama
Joanna Hogg, Honor Swinton Byrne,Jaygann Ayeh,Richard Ayoade,Drama,the souvenir part ii, Honor Swinton Byrne Jaygann Ayeh Richard Ayoade Joanna Hogg Drama
William Eubank, Emily Bader,Roland Buck III,Dan Lippert,Horror Mystery Thriller,paranormal activity: next of kin, Emily Bader Roland Buck III Dan Lippert William Eubank Horror Mystery Thriller
"Philip Gelatt, Morgan Galen King", Richard E. Grant,Lucy Lawless,Patton Oswalt,Animation Fantasy Horror,the spine of night," Richard E. Grant Lucy Lawless Patton Oswalt Philip Gelatt, Morgan Galen King Animation Fantasy Horror"
Justine Bateman, Olivia Munn,Luke Bracey,Justin Theroux,Thriller Crime Drama Action Comedy,violet, Olivia Munn Luke Bracey Justin Theroux Justine Bateman Thriller Crime Drama Action Comedy
Michael Mailer, Michael Shannon,Alexander Ludwig,Charles Melton,History Drama,heart of champions, Michael Shannon Alexander Ludwig Charles Melton Michael Mailer History Drama
Chloé Zhao, Gemma Chan,Richard Madden,Kumail Nanjiani,Action Adventure Science Fiction,eternals, Gemma Chan Richard Madden Kumail Nanjiani Chloé Zhao Action Adventure Science Fiction
Miguel Sapochnik, Tom Hanks,Caleb Landry Jones,Laura Harrier,Science Fiction Drama Adventure,finch, Tom Hanks Caleb Landry Jones Laura Harrier Miguel Sapochnik Science Fiction Drama Adventure
Rawson Marshall Thurber, Dwayne Johnson,Ryan Reynolds,Gal Gadot,Action Comedy Crime Thriller,red notice, Dwayne Johnson Ryan Reynolds Gal Gadot Rawson Marshall Thurber Action Comedy Crime Thriller
Pablo Larraín, Kristen Stewart,Timothy Spall,Jack Farthing,Drama History,spencer, Kristen Stewart Timothy Spall Jack Farthing Pablo Larraín Drama History
David Hackl, Mel Gibson,Scott Eastwood,Tyrese Gibson,Action Thriller,dangerous, Mel Gibson Scott Eastwood Tyrese Gibson David Hackl Action Thriller
Hernán Jiménez, Nina Dobrev,Jimmy O. Yang,Darren Barnet,Comedy Romance,love hard, Nina Dobrev Jimmy O. Yang Darren Barnet Hernán Jiménez Comedy Romance
, Jim Cummings,Virginia Newcomb,PJ McCabe,Comedy Mystery Thriller,the beta test,
Walt Becker, Jack Whitehall,Darby Camp,Tony Hale,Family Animation Comedy,clifford the big red dog, Jack Whitehall Darby Camp Tony Hale Walt Becker Family Animation Comedy
Lin-Manuel Miranda,Lin-Manuel Miranda (director); Steven Levenson (sceenplay); Andrew Garfield,Alexandra Shipp,Robin de Jesús,Music Drama,"tick, tick... boom!",Lin-Manuel Miranda (director); Steven Levenson (sceenplay); Andrew Garfield Alexandra Shipp Robin de Jesús Lin-Manuel Miranda Music Drama
Dan Mazer, Ellie Kemper,Rob Delaney,Archie Yates,Comedy Family,home sweet home alone, Ellie Kemper Rob Delaney Archie Yates Dan Mazer Comedy Family
Edward John Drake, Neal McDonough,Bruce Willis,unknown,Action Thriller Science Fiction,apex, Neal McDonough Bruce Willis unknown Edward John Drake Action Thriller Science Fiction
Jane Campion, Benedict Cumberbatch,Kirsten Dunst,Jesse Plemons,Western Drama Romance,the power of the dog, Benedict Cumberbatch Kirsten Dunst Jesse Plemons Jane Campion Western Drama Romance
Michael Rohl, Vanessa Hudgens,Sam Palladio,Nick Sagar,Romance Comedy,the princess switch 3: romancing the star, Vanessa Hudgens Sam Palladio Nick Sagar Michael Rohl Romance Comedy
Jason Reitman, Carrie Coon,Finn Wolfhard,Mckenna Grace,Comedy Fantasy,ghostbusters: afterlife, Carrie Coon Finn Wolfhard Mckenna Grace Jason Reitman Comedy Fantasy
Reinaldo Marcus Green, Will Smith,Aunjanue Ellis,Saniyya Sidney,Drama,king richard, Will Smith Aunjanue Ellis Saniyya Sidney Reinaldo Marcus Green Drama
Mike Mills, Joaquin Phoenix,Gaby Hoffmann,Woody Norman,Drama,c'mon c'mon, Joaquin Phoenix Gaby Hoffmann Woody Norman Mike Mills Drama
Casey Tebo, Devon Sawa,Ivana Baquero,Ryan Lee,Horror Comedy,black friday, Devon Sawa Ivana Baquero Ryan Lee Casey Tebo Horror Comedy
Abel Ferrara, Ethan Hawke,Valerio Mastandrea,unknown,Thriller War Science Fiction,zeros and ones, Ethan Hawke Valerio Mastandrea unknown Abel Ferrara Thriller War Science Fiction
"Byron Howard, Jared Bush, Chasire Castro Smith", Stephanie Beatriz,John Leguizamo,María Cecilia Botero,Family Music Adventure Animation Fantasy,encanto," Stephanie Beatriz John Leguizamo María Cecilia Botero Byron Howard, Jared Bush, Chasire Castro Smith Family Music Adventure Animation Fantasy"
Ridley Scott, Lady Gaga,Adam Driver,Jared Leto,Crime Drama Thriller,house of gucci, Lady Gaga Adam Driver Jared Leto Ridley Scott Crime Drama Thriller
Nora Fingscheidt, Sandra Bullock,Vincent D'Onofrio,Jon Bernthal,Drama,the unforgivable, Sandra Bullock Vincent D'Onofrio Jon Bernthal Nora Fingscheidt Drama
Ric Roman Waugh, Stephan James,J. K. Simmons,Uzo Aduba,Drama,national champions, Stephan James J. K. Simmons Uzo Aduba Ric Roman Waugh Drama
Johannes Roberts, Kaya Scodelario,Hannah John-Kamen,Robbie Amell,Horror Action Mystery,resident evil: welcome to raccoon city, Kaya Scodelario Hannah John-Kamen Robbie Amell Johannes Roberts Horror Action Mystery
Halle Berry, Halle Berry,Shamier Anderson,Adan Canto,Drama,bruised, Halle Berry Shamier Anderson Adan Canto Halle Berry Drama
Stephen Karam, Richard Jenkins,Jayne Houdyshell,Amy Schumer,Drama,the humans, Richard Jenkins Jayne Houdyshell Amy Schumer Stephen Karam Drama
Michael Dowse, Neil Patrick Harris,Winslow Fegley,June Diane Raphael,Family Comedy,8-bit christmas, Neil Patrick Harris Winslow Fegley June Diane Raphael Michael Dowse Family Comedy
Paul Thomas Anderson, Alana Haim,Cooper Hoffman,Sean Penn,Drama,licorice pizza, Alana Haim Cooper Hoffman Sean Penn Paul Thomas Anderson Drama
Swinton O. Scott III, Brady Noon,Ethan William Childress,Chris Diamantopoulos,Comedy Family,diary of a wimpy kid, Brady Noon Ethan William Childress Chris Diamantopoulos Swinton O. Scott III Comedy Family
Michael Pierce, Riz Ahmed,Octavia Spencer,Janina Gavankar,Drama Romance,encounter, Riz Ahmed Octavia Spencer Janina Gavankar Michael Pierce Drama Romance
Sean Baker, Simon Rex,Bree Elrod,Suzanna Son,Comedy Drama,red rocket, Simon Rex Bree Elrod Suzanna Son Sean Baker Comedy Drama
Jonas Poher Rasmussen, Amin (screenplay),unknown,unknown,Animation Science Fiction,flee, Amin (screenplay) unknown unknown Jonas Poher Rasmussen Animation Science Fiction
Steven Spielberg, Ansel Elgort,Rachel Zegler,Ariana DeBose,Drama Romance Crime,west side story, Ansel Elgort Rachel Zegler Ariana DeBose Steven Spielberg Drama Romance Crime
Adam McKay, Leonardo DiCaprio,Jennifer Lawrence,Rob Morgan,Comedy Drama Science Fiction,don't look up, Leonardo DiCaprio Jennifer Lawrence Rob Morgan Adam McKay Comedy Drama Science Fiction
Aaron Sorkin, Nicole Kidman,Javier Bardem,J. K. Simmons,Drama History,being the ricardos, Nicole Kidman Javier Bardem J. K. Simmons Aaron Sorkin Drama History
"Clare Knight, Harry Cripps", Isla Fisher,Tim Minchin,Eric Bana,Adventure Animation Comedy Family Music,back to the outback," Isla Fisher Tim Minchin Eric Bana Clare Knight, Harry Cripps Adventure Animation Comedy Family Music"
Tarik Saleh, Chris Pine,Ben Foster,Gillian Jacobs,Action Thriller,violence of action, Chris Pine Ben Foster Gillian Jacobs Tarik Saleh Action Thriller
Jon Watts, Tom Holland,Zendaya,Benedict Cumberbatch,Science Fiction Action Adventure Fantasy,spider-man: no way home, Tom Holland Zendaya Benedict Cumberbatch Jon Watts Science Fiction Action Adventure Fantasy
Guillermo del Toro, Bradley Cooper,Cate Blanchett,Toni Collette,Mystery Crime Drama,nightmare alley, Bradley Cooper Cate Blanchett Toni Collette Guillermo del Toro Mystery Crime Drama
Maggie Gyllenhaal, Olivia Colman,Dakota Johnson,Jessie Buckley,Drama,the lost daughter, Olivia Colman Dakota Johnson Jessie Buckley Maggie Gyllenhaal Drama
Benjamin Cleary, Mahershala Ali,Naomie Harris,Glenn Close,Drama Science Fiction,swan song, Mahershala Ali Naomie Harris Glenn Close Benjamin Cleary Drama Science Fiction
George Clooney, Ben Affleck,Tye Sheridan,Lily Rabe,Drama,the tender bar, Ben Affleck Tye Sheridan Lily Rabe George Clooney Drama
Lana Wachowski, Keanu Reeves,Carrie-Anne Moss,Yahya Abdul-Mateen II,Action Adventure Science Fiction,the matrix resurrections, Keanu Reeves Carrie-Anne Moss Yahya Abdul-Mateen II Lana Wachowski Action Adventure Science Fiction
Garth Jennings, Matthew McConaughey,Reese Witherspoon,Scarlett Johansson,Family Comedy Animation Drama Music,sing 2, Matthew McConaughey Reese Witherspoon Scarlett Johansson Garth Jennings Family Comedy Animation Drama Music
Matthew Vaughn, Ralph Fiennes,Gemma Arterton,Rhys Ifans,War Action Thriller Adventure,the king's man, Ralph Fiennes Gemma Arterton Rhys Ifans Matthew Vaughn War Action Thriller Adventure
Joel Coen, Denzel Washington,Frances McDormand,Corey Hawkins,Drama War,the tragedy of macbeth, Denzel Washington Frances McDormand Corey Hawkins Joel Coen Drama War
Denzel Washington, Michael B. Jordan,Chanté Adams,unknown,Drama Comedy,a journal for jordan, Michael B. Jordan Chanté Adams unknown Denzel Washington Drama Comedy
Erwin brothers, Zachary Levi,Anna Paquin,Dennis Quaid,Drama,american underdog: the kurt warner story, Zachary Levi Anna Paquin Dennis Quaid Erwin brothers Drama
Joe Wright, Peter Dinklage,Haley Bennett,Kelvin Harrison Jr.,Music Drama Romance,cyrano, Peter Dinklage Haley Bennett Kelvin Harrison Jr. Joe Wright Music Drama Romance
